Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
Cl,Cmca,0.0,0.0,2.41,4.04,4,1,0.0,0.0,Direct,Direct,None,H-265
CrC,P-6m2,-0.025849,0.010177,0.0,0.0,2,2,-0.025849,0.010177,N.A.,N.A.,None,H-10591
CrC,Fm-3m,0.150761,-0.309979,0.0,0.0,2,2,0.150761,-0.309979,N.A.,N.A.,None,H-11235
CrH,Fm-3m,-0.043263,-0.019275,0.0,0.0,2,2,0.005717,-0.043502,N.A.,N.A.,None,H-12075
CrN,F-43m,-0.619302,-0.876652,0.0,0.0,2,2,-0.496991,-0.949,N.A.,N.A.,-0.6063,H-11412
CrSi2,I4/mmm,-0.374588,-0.440921,0.0,0.03,3,2,-0.374588,-0.440921,N.A.,Indirect,-0.3064,H-10770
CrTe,Fm-3m,0.003516,-1.024995,0.0,0.0,2,2,0.003516,-1.024995,N.A.,N.A.,None,H-2570
Cr,Im-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-219
Cr,Fm-3m,0.39286,0.615183,0.0,0.0,1,1,0.39286,0.615183,N.A.,N.A.,0.0,H-234
Cs2O,R-3m,-1.176981,-1.13375,0.56,1.44,3,2,-0.985633,-1.086848,Indirect,Indirect,-1.1967,H-5883
CsAu,Pm-3m,-0.322562,-0.266985,1.3,1.23,2,2,-0.322562,-0.266985,Indirect,Indirect,None,H-3938
CsBr,Pm-3m,-2.020529,-2.025434,4.26,5.42,2,2,-1.765355,-1.972529,Indirect,Direct,-2.1019,H-5220
CsBr,Fm-3m,-2.060803,-1.997902,4.27,5.39,2,2,-1.805629,-1.944997,Direct,Direct,-2.1019,H-525
CsCl,Pm-3m,-2.221142,-2.138686,5.0,6.28,2,2,-1.92088,-2.084552,Direct,Direct,-2.2921,H-2029
CsF,Pm-3m,-2.726813,-2.793356,5.95,7.84,2,2,-2.526606,-2.690853,Direct,Direct,-2.887,H-11954
CsF,Fm-3m,-2.835666,-2.8366,5.27,7.09,2,2,-2.635459,-2.734097,Indirect,Indirect,-2.887,H-13197
CsH,Fm-3m,-0.220838,-0.175706,2.42,3.25,2,2,-0.171858,-0.199934,Direct,Direct,-0.28,H-3530
CsH,Pm-3m,-0.168794,-0.129657,2.62,3.56,2,2,-0.119814,-0.153884,Indirect,Indirect,-0.28,H-7856
CsI,Fm-3m,-1.712167,-1.69326,3.88,4.84,2,2,-1.566553,-1.688009,Direct,Direct,-1.8039,H-13079
CsI,Pm-3m,-1.679999,-1.66484,3.68,4.66,2,2,-1.534384,-1.659589,Indirect,Indirect,-1.8039,H-9996
Cs,Im-3m,0.001537,0.001058,0.03,0.0,1,1,0.001537,0.001058,Indirect,N.A.,0.0,H-134
Cs,Fm-3m,0.000502,0.000452,0.02,0.09,1,1,0.000502,0.000452,Indirect,Indirect,0.0,H-264
